seed_url,url,title
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-a-k/financial-services/dog-licenses,"dog licenses | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/community-engagement/calendar-copy,"calendar | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/town-manager/american-with-disabilities-act,"americans with disabilities act (ada) | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/residents/services,"services | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/police/towing,"towing  | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/police/parking-tickets,"parking tickets | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/residents/getting-around/parking/on-street-parking-permits,"on-street parking permits | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/residents/getting-around/parking/accessible-parking,"accessible parking | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/residents/getting-around/downtown-parking,"downtown parking  | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/residents/getting-around/biking,"biking | blacksburg, va"
https://www.blacksburg.gov/home,https://ridebt.org/,blacksburg transit
https://www.blacksburg.gov/home,https://www.blacksburg.gov/residents/getting-around,"getting around | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/residents/public-safety/black-bears,"when black bears are your neighbors | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburgrescue.org/,blacksburg volunteer rescue squad
https://www.blacksburg.gov/home,https://blacksburgfire.org/,blacksburg volunteer fire department
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/police,"police | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-a-k/community-relations/town-of-blacksburg-information-for-inclement-weather,"inclement weather information | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/residents/public-safety/emergency-preparedness,"emergency preparedness | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/residents/public-safety,"public health and safety | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/residents/new-residents/new-residents,"new residents | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/residents/new-residents/students-living-off-campus,"students living off campus | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/residents/new-residents,"new residents | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/town-council/town-council/contact-us,"contact us | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-a-k/community-relations/media-center,"media center | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/town-attorney/freedom-of-information-act-foia,"freedom of information act (foia) | blacksburg, va"
https://www.blacksburg.gov/home,http://www.tobweb.org/ayr/,
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/contact,"contact | blacksburg, va"
https://www.blacksburg.gov/home,http://tobweb.org/ayr/,
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/community-engagement/latest-news,"latest news | blacksburg, va"
https://www.blacksburg.gov/home,https://letstalkblacksburg.org/,let's talk blacksburg
https://www.blacksburg.gov/home,http://www.tobweb.org/ayr/,
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/police/citizens-police-academy,"citizens police academy | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-a-k/community-relations/citizens-institute,"citizens institute | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/community-engagement/calendar,"calendar | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/town-manager/american-with-disabilities-act,"americans with disabilities act (ada) | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/parks-and-recreation/programs,"programs | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/community-engagement,"community engagement | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/local-attractions/shopping-and-dining,"shopping and dining | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/arts-and-culture/blacksburg-museum-and-cultural-foundation/st-luke-and-odd-fellows-hall,"st. luke and odd fellows hall | blacksburg, va"
https://www.blacksburg.gov/home,https://www.vt.edu/,home | virginia tech
https://www.blacksburg.gov/home,https://seedskids.org/,children natural education program %%page%% %%sep%% %%sitename%%
https://www.blacksburg.gov/home,https://www.blacksburg.gov/Home/Components/FacilityDirectory/FacilityDirectory/88/78,"huckleberry trail | facilities | blacksburg, va"
https://www.blacksburg.gov/home,https://www.thelyric.com/,the lyric theatre – experience the lyric
https://www.blacksburg.gov/home,https://www.golfthehill.com/,"blacksburg muni gc – blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburgfarmersmarket.com/,blacksburg farmer's market
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/arts-and-culture/blacksburg-museum-and-cultural-foundation/alexander-black-house,"alexander black house | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/community/local-attractions,"local attractions | blacksburg, va"
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-l-z/parks-and-recreation/holiday-events,"special events | blacksburg, va"
https://www.blacksburg.gov/home,https://www.historicsmithfield.org/,smithfield
https://www.blacksburg.gov/home,https://www.blacksburg.gov/departments/departments-a-k/community-relations/sidewalk-stage,"sidewalk stage | blacksburg, va"
